,date,title,cat1,cat2,url,categories,children,hate_speech,health_disinfo,political_disinfo,safety
248,"September 1, 2021","DJ joins Stars Challenge, doubles Stars payout in 6 months | Meta for Creators",SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/suat-facebook-stars-bonus-challenge,[],0,0,0,0,0
249,"August 31, 2021",The 5 Essential Elements to building a viable media business - School of Splice,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/school-of-splice-2021,[],0,0,0,0,0
250,"August 26, 2021",Facebook Launches Accelerator Challenge for Global Fact-Checkers to Expand Reach of Reliable Information,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/accelerator-fact-checkers,[],0,0,0,0,0
251,"August 23, 2021",How APAC Publishers Increased Paid Readership in 2021,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/how-apac-publishers-increased-paid-subscriptions-in-2021,[],0,0,0,0,0
252,"August 19, 2021",How Gen Halilintar Grew Their Brand & Increased Video Views,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/gen-halilintar-indonesia-brand-growth-facebook,[],0,0,0,0,0
253,"August 19, 2021",How to engage celebrities for social good initiatives on Facebook,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/social-for-good-vietnam-celebrity-charity-involvement-facebook,[],0,0,0,0,0
254,"August 16, 2021",Facebook Partners With ADEPA and ICFJ to launch Impulso local in support of local journalism in Argentina,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/adepa-icfj-argentina-impulsolocal,[],0,0,0,0,0
255,"August 9, 2021",How ONE Championship built a global audience and millions in revenue on Facebook,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/how-one-championship-built-a-global-audience-and-millions-in-revenue-on-facebook,[],0,0,0,0,0
256,"August 9, 2021",How AAA Created a Virtual Red Carpet and Award Ceremony Experience Through Facebook,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/how-aaa-created-a-virtual-red-carpet-and-award-ceremony-experience-through-facebook,[],0,0,0,0,0
257,"August 5, 2021",FOPEA and Facebook Journalism Project launch three new programs in Argentina to support journalists and connect communities,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-fopea-argentina-local-news,[],0,0,0,0,0
258,"August 5, 2021","Facebook partners with BigSpring, CIR and C-CAB to launch mobile upskilling program for Bangladeshi journalists",ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-partners-with-cir-and-ccab,[],0,0,0,0,0
259,"August 4, 2021",Facebook announces AU$15 million news fund and begins the phased launch of Facebook News in Australia,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-invests-in-australia-news-fund-and-launches-facebook-news,[],0,0,0,0,0
260,"August 3, 2021","32 Organizations Receive Accelerator Alumni Grants Totaling $700,000",ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/accelerator-alumni-grants-2021,[],0,0,0,0,0
261,"August 3, 2021",Facebook Journalism Project partners with SembraMedia to train and mentor local independent startups in Argentina,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/sembramedia-amuna-digital,[],0,0,0,0,0
262,"August 2, 2021",Instant Articles Bootcamp by Facebook India,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/instant-articles-bootcamp-india,[],0,0,0,0,0
263,"August 2, 2021",Whistle Masters Branded Content on Facebook and Instagram,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/whistle-masters-branded-content-facebook-instagram,[],0,0,0,0,0
264,"August 2, 2021",Revenue recipe: Mark Wiens’ bite-sized content | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/mark-wiens-bite-sized-content,[],0,0,0,0,0
265,"July 27, 2021",Meta Partners with Meedan Digital Health Lab to Help Fact-Checkers Debunk Health Misinformation,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-partners-with-meedan-digital-health-lab-to-help-fact-checkers-debunk-health-misinformation,[],0,0,0,0,0
266,"July 26, 2021",Meet the Facebook HBCU Summer News Fellows,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/meet-the-facebook-hbcu-summer-news-fellows,[],0,0,0,0,0
267,"July 23, 2021",Real Madrid’s Instagram Fan Engagement and Monetization Strategies Push the Club Past 100 Million Followers,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/real-madrid-surpasses-100-million-followers,[],0,0,0,0,0
268,"July 22, 2021",Our new Community Standards e-course will help you avoid violations that could harm your monetization opportunities,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/new-community-standards-e-course,[],0,0,0,0,0
269,"July 21, 2021",Announcing the Video Business Accelerator in Latin America,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/video-business-accelerator-latam,[],0,0,0,0,0
270,"July 20, 2021",Creator Spotlight: Cameron J Henderson | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/creator-spotlight-cameron-henderson,[],0,0,0,0,0
271,"July 19, 2021",The Facebook Journalism Project LATAM Video Business Accelerator Program Terms & Conditions,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/video-business-accelerator-terms-conditions,[],0,0,0,0,0
272,"July 14, 2021",Investing $1 billion in the creator community,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/investing-one-billion-in-the-creator-community,[],0,0,0,0,0
273,"July 14, 2021",How 8 Emerging Creators and Publishers Utilize In-Stream Ads to Grow Their Audience and Earnings,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/how-creators-utilize-in-stream-ads-to-grow-audience-earnings,[],0,0,0,0,0
274,"July 1, 2021",A traditional media company monetizing popular movie classics,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/viva-philippines,[],0,0,0,0,0
275,"July 1, 2021",TheSoul Publishing: Super Bowl LV is crafting time,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/super-bowl-lv-is-crafting-time,[],0,0,0,0,0
276,"June 30, 2021",How Two Southeast Asian Creators Use Facebook Live and Stars to Engage Fans and Earn Revenue | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/how-two-southeast-asian-creators-use-facebook-live-and-stars-to-engage-fans-and-earn-revenue,[],0,0,0,0,0
277,"June 30, 2021",Facebook’s Fact-Checking Partners Fight Misinformation in Spanish,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/programs/third-party-fact-checking/spanish-misinformation,[],0,0,0,0,0
278,"June 29, 2021",6 Journalists Reflect on the Facebook Community News Project,SUCCESS STORIES,JOURNALISM,https://www.facebook.com/journalismproject/six-journalists-reflect-on-the-facebook-community-news-project,[],0,0,0,0,0
279,"June 28, 2021",Dat Viet paves the way with a Facebook-First strategy,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/datviet-facebook-first-strategy,[],0,0,0,0,0
280,"June 28, 2021",ViacomCBS Embraces Digital-first Content,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/viacomcbs-facebook-first-programming-increased-revenue,[],0,0,0,0,0
281,"June 25, 2021",Facebook Partner Voices: Ryan Serhant,SUCCESS STORIES,,https://www.facebook.com/formedia/blog/facebook-partner-voices-ryan-serhant,[],0,0,0,0,0
282,"June 25, 2021",Keilidh MUA Launches New Product Line Via Paid Online Events,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/keilidh-mua-launches-new-product-line-via-paid-online-events,[],0,0,0,0,0
283,"June 20, 2021",Facebook Journalism Project and IJNet Launch a Toolkit for Reporting on Refugee Communities,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-journalism-project-and-ijnet-launch-a-toolkit-for-reporting-on-refugee-communities,[],0,0,0,0,0
284,"June 17, 2021",How In-Stream Ads Helped Makeup Artist Tattisbeautypro Increase Her Video Earnings by 4x | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/how-in-stream-ads-helped-makeup-artist-tattisbeautypro-increase-her-video-earnings,[],0,0,0,0,0
285,"June 15, 2021",How Facebook understands news quality,PROGRAM IMPACT,JOURNALISM,https://www.facebook.com/journalismproject/learn/how-we-understand-news-quality,[],0,0,0,0,0
286,"June 15, 2021",Amplifying Indigenous voices in Canada: Welcoming two News Fellows,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/amplifying-indigenous-voices-in-canada-welcoming-two-news-fellows,[],0,0,0,0,0
287,"June 15, 2021",How Facebook reduces problematic content,BEST PRACTICES,,https://www.facebook.com/formedia/blog/reducing-problematic-content,[],0,0,0,0,0
288,"June 15, 2021",How Facebook recommends news content,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/learn/recommending-content,[],0,0,0,0,0
289,"June 15, 2021",Dam Vinh Hung’s winning content strategy,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/dam-vinh-hungs-winning-content-strategy,[],0,0,0,0,0
290,"June 15, 2021",Following Facebook’s Community Standards,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/learn/community-standards-for-news-publishers,[],0,0,0,0,0
291,"June 15, 2021",How Facebook Feed works for publishers,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/learn/news-feed-for-publishers,[],0,0,0,0,0
292,"June 15, 2021",8 myths about the news industry and Facebook,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/learn/correcting-the-record,[],0,0,0,0,0
293,"June 15, 2021",Announcing a Mentorship Program for Mexican Publishers,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programadementorias,[],0,0,0,0,0
294,"June 15, 2021",What publishers need to know about fact-checking on Facebook,BEST PRACTICES,,https://www.facebook.com/formedia/blog/third-party-fact-checking-publisher-faqs,[],0,0,0,0,0
295,"June 15, 2021",How Facebook identifies news content,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/learn/how-we-identify-news-content,[],0,0,0,0,0
296,"June 11, 2021",Facebook 2021 HBCU Summer News Fellowship,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/2021-hbcu-summer-news-fellowship,[],0,0,0,0,0
297,"June 8, 2021",Creator Spotlight: Team2Moms | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/creator-spotlight-team2moms,[],0,0,0,0,0
298,"June 7, 2021",Olympique de Marseille Leverages Long-Form Archive Content to Increase In-Stream Ads Revenue,ANNOUNCEMENTS,,https://www.facebook.com/formedia/success-stories/olympique-de-marseille-leverages-long-form-archive-content-to-increase-in-stream-ads-revenue,[],0,0,0,0,0
299,"June 4, 2021",This Facebook Live concert series helped raise millions of dollars and thousands of meals during COVID lockdown,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/bayanihan-musikahan-donate-button-live-concert-covid,[],0,0,0,0,0
300,"June 4, 2021",Expanding Revenue Lift for Instant Articles More Broadly,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/expanding-revenue-lift-for-instant-articles-more-broadly,[],0,0,0,0,0
301,"June 4, 2021",Superjeew scores the popular vote with Facebook Messenger Bot,ANNOUNCEMENTS,,https://www.facebook.com/formedia/success-stories/superjeew-tv-show-vote-facebook-messenger-bot,[],0,0,0,0,0
302,"June 3, 2021",TB12 Is Also Winning on Instagram,ANNOUNCEMENTS,,https://www.facebook.com/formedia/success-stories/tb12-is-also-winning-on-instagram,[],0,0,0,0,0
303,"June 3, 2021",8 Journalists Join the NABJ-Facebook Fact-Checking Fellowship Program,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/third-party-fact-checking-2021-nabj-fellowship-program,[],0,0,0,0,0
304,"June 3, 2021",How to build an international audience: Marion Grasby’s recipe for success,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/marion-grasby-international-audience-development-content,[],0,0,0,0,0
305,"June 3, 2021",Rights Manager Now Offers Insights for Images,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/rights-manager-now-offers-insights-for-images,[],0,0,0,0,0
306,"June 2, 2021",ESPN Quadruples Facebook Video Revenue With Expansion of Short-Form Ads Product,ANNOUNCEMENTS,,https://www.facebook.com/formedia/success-stories/espn-quadruples-facebook-video-revenue-with-expansion-of-short-form-ads-product,[],0,0,0,0,0
307,"June 1, 2021",How Meta’s third-party fact-checking program works,PROGRAM IMPACT,,https://www.facebook.com/formedia/blog/third-party-fact-checking-how-it-works,[],0,0,0,0,0
308,"May 26, 2021",Creator Spotlight: Asian Pacific American storytellers you should know,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/creator-spotlight-asian-pacific-american-storytellers-you-should-know,[],0,0,0,0,0
309,"May 25, 2021",How a fitness trainer used Facebook and Instagram to build a community and start a business,ANNOUNCEMENTS,,https://www.facebook.com/formedia/success-stories/adriana-meaury-builds-community-of-millions,[],0,0,0,0,0
310,"May 24, 2021",How Mario Aguilar used Facebook to build a community of over 18 million people,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/how-mario-aguilar-built-a-community,[],0,0,0,0,0
311,"May 24, 2021",Going global: How Viva La Dirt League built an international audience | Meta for Creators,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/going-global-how-viva-la-dirt-league-built-an-international-audience,[],0,0,0,0,0
312,"May 21, 2021",Insight-driven comedy content delivers big revenue and bigger laughs,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/faptv-insight-driven-content-development-creator-studio,[],0,0,0,0,0
313,"May 21, 2021",FC Barcelona Uses Instagram Reels to Build Community and Drive Revenue Through Short-Form Video,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/fc-barcelona-instagram-reels,[],0,0,0,0,0
314,"May 18, 2021",Announcing the Reuters and Facebook Journalism Project e-Learning Course for Journalists,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/training/reuters-digital-journalism-course,[],0,0,0,0,0
315,"May 18, 2021",Facebook News rolls out in Germany,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/facebook-news-germany,[],0,0,0,0,0
316,"May 14, 2021",GiveMeSport Shifts Video Strategy to Boost Sustainable Revenue Via In-Stream Ads,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/givemesports-boosts-sustainable-revenue,[],0,0,0,0,0
317,"May 13, 2021",How Fox Sports MX achieved success with their New Page,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/fox-sports-mx-achieves-success,[],0,0,0,0,0
318,"May 4, 2021",Discover how MTV Lebanon increased their fan base and engagement during Ramadan,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/mtv-lebanon-increased-fanbase-ramadan,[],0,0,0,0,0
319,"May 4, 2021",How CollegeHumor Monetized Their Existing Content And Grew Their Business With In-Stream Ads,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/collegehumor-monetized-existing-content-grew-business,[],0,0,0,0,0
320,"April 29, 2021","Creating More Opportunities for Independent, Local Writers to Thrive",ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/apply-platform-independent-writers,[],0,0,0,0,0
321,"April 29, 2021",Local Journalism Application Terms and Conditions,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/independent-writers-application-terms-conditions,[],0,0,0,0,0
322,"April 29, 2021",How Boca Juniors connected with fans to increase ROAS,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/how-boca-juniors-increased-roas-by-42x,[],0,0,0,0,0
323,"April 28, 2021",Adepa and Facebook Launch ‘Evolución 2021’ With a Renewed Focus on Digital Transformation in Argentina,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/adepa-evolucion,[],0,0,0,0,0
324,"April 27, 2021",Facebook Journalism Project and WAN-IFRA Launch The Cultural Ignition Guide to Help Activate Cultural Change for News Publishers,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/wan-ifra-latam-cultural-change-program-guide,[],0,0,0,0,0
325,"April 26, 2021",Facebook Unveils the Participants and Coaches for its Nordic Accelerator Program,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/nordics-2021-participants,[],0,0,0,0,0
326,"April 26, 2021",The Masked Singer Germany,ANNOUNCEMENTS,MEDIA,https://www.facebook.com/facebookmedia/success-stories/how-masked-singer-reached-12-million-views,[],0,0,0,0,0
327,"April 26, 2021",Listen to Full-length Songs from Spotify on Facebook,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/songs-from-spotify-on-facebook,[],0,0,0,0,0
328,"April 20, 2021",30 North American Newsrooms Join the Facebook Accelerator,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/north-america-2021-participants,[],0,0,0,0,0
329,"April 16, 2021",10 Benelux Publishers to Participate in the Facebook Accelerator,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/benelux-2021-participants,[],0,0,0,0,0
330,"April 16, 2021",Meet the septuagenarian creator that reached millions of followers sharing recipes on Facebook,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/mrs-angela-reached-millions-of-followers,[],0,0,0,0,0
331,"April 15, 2021",Apply now: Newsroom & Business Transformation APAC 2021,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/accelerator-2021-wanifra-nbta,[],0,0,0,0,0
332,"April 13, 2021",Facebook News rolls out local news section in UK,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/facebook-news-rolls-out-local-news-section-in-uk,[],0,0,0,0,0
333,"April 5, 2021","How Desimpedidos broke their own engagement and conversion records with the ""Até Eu Faria"" Facebook series",ANNOUNCEMENTS,MEDIA,https://www.facebook.com/facebookmedia/success-stories/how-desimpedidos-broke-their-own-engagement-and-conversion-records-with-the-at-eu-faria-facebook-series,[],0,0,0,0,0
334,"April 1, 2021",Facebook Partner Voices: Sky Sports,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/facebook-partner-voices-sky-sports,[],0,0,0,0,0
335,"March 31, 2021",15 Publishers Selected for Audience Analytics Accelerator in Latin America,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/audience-analytics-accelerator-latam-participants,[],0,0,0,0,0
336,"March 30, 2021",SBT increases In-Stream Ads revenue by 375% with a new video strategy,ANNOUNCEMENTS,MEDIA,https://www.facebook.com/facebookmedia/success-stories/sbt-increases-in-stream-ads-revenue-by-375-with-a-new-video-strategy,[],0,0,0,0,0
337,"March 30, 2021",A deep-dive into the new Pages experience,BEST PRACTICES,CREATORS,https://www.facebook.com/creators/deep-dive-into-the-new-pages-experience,[],0,0,0,0,0
338,"March 26, 2021",Facebook Partner Voices: UFC,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/facebook-partner-voices-ufc,[],0,0,0,0,0
339,"March 26, 2021",Facebook Journalism Project Commits Additional $8 Million Over 3 Years to Support Canadian Journalism,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/8-million-canadian-journalism,[],0,0,0,0,0
340,"March 23, 2021",Test. Learn. Earn. How A/B testing experiments can help drive an increase in video performance,ANNOUNCEMENTS,MEDIA,https://www.facebook.com/facebookmedia/success-stories/test-learn-earn-a-b-testing-can-help-drive-video-performance,[],0,0,0,0,0
341,"March 18, 2021",How Supercar Blondie became the most watched Page on Facebook,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/how-supercar-blondie-became-the-most-watched-page-on-facebook,[],0,0,0,0,0
342,"March 16, 2021",Helping creators earn more and diversify their revenue on Facebook,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/helping-creators-earn-more-and-diversify-their-revenue-on-facebook,[],0,0,0,0,0
343,"March 16, 2021",Supporting Independent Voices,ANNOUNCEMENTS,,https://www.facebook.com/formedia/supporting-independent-voices,[],0,0,0,0,0
344,"March 16, 2021",Expanding Facebook’s News Page Registration across Central and Eastern Europe,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/news-page-registration-europe-expansion,[],0,0,0,0,0
345,"March 12, 2021",HBCU Students and Recent Grads Can Apply to Participate in Summer News Fellowship,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/hbcu-summer-news-fellowship,[],0,0,0,0,0
346,"March 12, 2021",Facebook HBCU Summer News Fellowship Program Terms and Conditions,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/hbcu-summer-fellowship-terms-and-conditions,[],0,0,0,0,0
347,"June 30, 2021",Secret Sofa: Tell everyone,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/secret-sofa-tell-everyone,[],0,0,0,0,0
348,"March 10, 2021",Together Against Covid-19 Misinformation: A New Campaign in Collaboration with the WHO,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/together-against-covid-19-misinformation-a-new-campaign-in-partnership-with-the-who,[],0,0,0,0,0
349,"March 3, 2021",Facebook Brings News Accelerator Program to Benelux Publishers,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/benelux-reader-revenue-2021,[],0,0,0,0,0
350,"March 3, 2021",The Facebook Journalism Project Accelerator Programs in North America Terms & Conditions,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/north-america-accelerator-programs-terms-conditions-2021,[],0,0,0,0,0
351,"March 3, 2021",Apply to Facebook’s North American Subscriptions and Memberships Accelerators,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/north-america-memberships-subscriptions-programs,[],0,0,0,0,0
352,"March 1, 2021",Facebook News coming to Germany in May 2021,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-news-accelerator-germany,[],0,0,0,0,0
353,"February 26, 2021",Facebook Launches Initiative to Counter Nordic News Deserts,ANNOUNCEMENTS,,https://www.facebook.com/formedia/blog/accelerator-nordics-reader-revenue,[],0,0,0,0,0
354,"February 25, 2021",Recap: Celebrating Black History Month with VidCon Now,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/recap-celebrating-black-history-month-with-vidcon-now,[],0,0,0,0,0
355,"February 23, 2021","The Meta Journalism Project Accelerator Program Terms & Conditions for Publishers in Africa, Asia, Europe, Latin America and The Middle East",ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/africa-asia-europe-latin-america-middle-east-accelerator-programs-terms-conditions-2021,[],0,0,0,0,0
356,"February 19, 2021",Paid online events help a theater earn money during a pandemic,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/teatro-san-carlo-paid-online-events,[],0,0,0,0,0
357,"February 18, 2021",News Feed Today: A Guide for News Publishers,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/facebook-news-feed-for-news-publishers,[],0,0,0,0,0
358,"February 18, 2021",Announcing We The Culture,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/we-the-culture,[],0,0,0,0,0
359,"February 17, 2021",Facebook and INMA Launch Audience Analytics Accelerator in Latin America,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/programs/accelerator/audience-analytics-accelerator-latam,[],0,0,0,0,0
360,"February 17, 2021",The Value of News on Facebook,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/news-australia-decision,[],0,0,0,0,0
361,"February 17, 2021",2020 MTV EMAs hit the right notes with Facebook & Instagram,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/2020-mtv-emas-hit-the-right-notes-with-facebook-instagram,[],0,0,0,0,0
362,"February 16, 2021",FOPEA and Facebook Journalism Project renew program in Argentina,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/fopea-lab-2021,[],0,0,0,0,0
363,"February 12, 2021",Promoting authoritative information about COVID-19 vaccines,ANNOUNCEMENTS,,https://www.facebook.com/formedia/promoting-authoritative-information-about-covid-19-vaccines,[],0,0,0,0,0
364,"February 10, 2021",Facebook and Fundación Gabo Offer Online Training for Journalists,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/fundacion-gabo-webinars,[],0,0,0,0,0
365,"February 10, 2021",Facebook partners with WAN-IFRA to support newsrooms in the Middle East,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/facebook-partners-with-wan-ifra-to-support-newsrooms-in-the-middle-east,[],0,0,0,0,0
366,"February 9, 2021",How X-Factor Indonesia Held Auditions Online,SUCCESS STORIES,,https://www.facebook.com/formedia/success-stories/How-X-Factor-Indonesia-Held-Auditions-Online,[],0,0,0,0,0
367,"February 8, 2021","Lessons From Thailand’s Master of Monetization, Nanake555",SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/nanake-thailand-master-of-monetization,[],0,0,0,0,0
368,"February 2, 2021",How Luna Maya Re-engaged Fans With a Video-First Strategy,SUCCESS STORIES,MEDIA,https://www.facebook.com/facebookmedia/success-stories/how-luna-maya-re-engaged-fans-with-a-video-first-strategy,[],0,0,0,0,0
369,"February 2, 2021",Announcing the new Pages experience,ANNOUNCEMENTS,CREATORS,https://www.facebook.com/creators/new-pages-experience,[],0,0,0,0,0
370,"February 1, 2021",17 Black-led News Organizations to Support,ANNOUNCEMENTS,JOURNALISM,https://www.facebook.com/journalismproject/black-history-month-2021,[],0,0,0,0,0
371,"January 28, 2021",Online To On-Air. Woody Turns Top Fans Into A TV Audience,SUCCESS STORIES,CREATORS,https://www.facebook.com/creators/woody-turns-top-fans-into-tv-audience,[],0,0,0,0,0
372,"January 27, 2021",Reporting the News Live on Facebook,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/facebook-live-for-newsrooms,[],0,0,0,0,0
373,"January 27, 2021","Tools to Use on Facebook Live: Rooms to Live, Premieres & Live Clipping",BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/facebook-live-tools-rooms-premieres,[],0,0,0,0,0
374,"January 27, 2021",Two Ways to Go Live on Facebook,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/how-to-go-live-on-facebook,[],0,0,0,0,0
375,"January 27, 2021",In-Stream Ads: Eligibility and Optimization,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/in-stream-ads-eligibility-optimization,[],0,0,0,0,0
376,"January 27, 2021",Using Video on Facebook for News Reporting,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/using-video-news-reporting,[],0,0,0,0,0
377,"January 27, 2021",Tools to Use with Video on Facebook: Series and Playlists,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/series-playlists,[],0,0,0,0,0
378,"January 27, 2021",Tools to use with Video on Facebook: Bulk Features and Organic Video Testing,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/bulk-features-organic-video-testing,[],0,0,0,0,0
379,"January 27, 2021","Tools to Use on Facebook Live: Live Polling, Comment Moderation & Graphics",BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/polling-moderation-graphics,[],0,0,0,0,0
380,"January 27, 2021",How to Optimize Facebook Live Video,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/optimize-facebook-live-video,[],0,0,0,0,0
381,"January 27, 2021",Monetizing Your Video Content on Facebook,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/monetizing-news-video-content,[],0,0,0,0,0
382,"January 27, 2021",How to Optimize Video-on-Demand on Facebook,BEST PRACTICES,JOURNALISM,https://www.facebook.com/journalismproject/tools/video/video-optimization-on-facebook,[],0,0,0,0,0
